prompt_id	name	source_repo	category	content_type	item_count	score	why_selected	alternative	why_not_alternative
PL-01	ai-tool-system-prompts	system-prompts-collection	system-prompts	System prompts from 28+ AI tools	6500+	95	Most comprehensive AI tool prompt collection. Daily updates. Full competitor internals from Augment Code, Claude Code, Cursor, Devin, Kiro, Lovable, Manus, Perplexity, Replit, Windsurf, v0, Xcode and 16+ more.	leaked-system-prompts (3.2K stars)	Only covers 4 models (GPT, Claude, Gemini, Grok). No tool-level prompts. Infrequent updates. Missing coding tool coverage.
PL-02	general-prompt-library	awesome-chatgpt-prompts	general	Curated general-purpose prompts	157+	90	World's largest open-source prompt library (143K stars). Academic reference (Harvard, Columbia). Multi-platform (ChatGPT, Claude, Gemini, Llama, Mistral).	FlowGPT platform	Closed platform. No git integration. Cannot be submoduled. Content quality unverified.
PL-03	coding-tool-prompts	elifuzz-system-prompts	coding-tools	AI coding tool system prompts + definitions	28+	78	Date-stamped system prompt archive. Per-tool definitions for Augment, Claude Code, Cursor, Devin, Kiro, Gemini, Codex, Aider, Lovable, Qoder. Version tracking.	Individual vendor documentation	Scattered across vendor sites. No unified archive. No version comparison possible.
PL-04	claude-code-internals	piebald-claude-prompts	claude-specific	Claude Code system prompt parts + 24 tool defs	full	76	Complete Claude Code system prompt breakdown. 24 built-in tool definitions. Sub-agent prompts. Version-tracked per Claude Code release.	Reverse-engineering Claude Code yourself	Fragile approach. Breaks on updates. This repo is maintained and version-tracked.
PL-05	prompt-engineering-guide	prompt-engineering-guide	education	Techniques: CoT, few-shot, RAG, agents	full	85	Comprehensive prompt engineering guide (73K stars). Website + Jupyter notebooks. Covers all major techniques including chain-of-thought, few-shot, zero-shot, RAG, context engineering.	LearnPrompting.org	Less code-focused. No git repo to submodule. Website-only content.
PL-06	bulk-prompt-collection	not-included	general	100K+ raw prompts	100000+	45	NOT SELECTED - quantity over quality. Useful only for data mining.	-	Low-medium quality. No curation. Would add noise without filtering. Not worth the storage cost.
PL-07	gpt-store-prompts	not-included	custom-gpt	GPT Store custom GPT system prompts	hundreds	60	NOT SELECTED - GPT-specific. Valuable for pattern analysis but not directly usable in Claude.	-	Platform-specific to ChatGPT/GPT Store. Prompt patterns are already covered by S07 and S11.
PL-08	chatgpt-system-prompts	not-included	security	GPT system prompts + prompt injection	varies	55	NOT SELECTED - primarily security/injection focused. Value is defensive awareness only.	-	Narrow focus. Security patterns already covered by S07. Not a primary component source.
PL-09	top-gpt-store	not-included	custom-gpt	Top-rated GPT prompts (multi-language)	curated	50	NOT SELECTED - academic/research angle. Multi-language but GPT-specific.	-	Same GPT-specific limitation. Multi-language adds complexity without Claude benefit.
PL-10	anthropic-prompt-tutorial	not-included	education	Official 9-chapter Anthropic tutorial	9 chapters	80	NOT INCLUDED as submodule - accessible via Anthropic docs website. Referenced in education materials.	-	Already available online. Not a component source. Used as reference material only.
PL-11	templated-prompts	not-included	developer	Jinja2 templated experimental prompts	varies	55	NOT SELECTED - experimental and template-based. Supports multiple providers but low adoption.	-	Low community adoption (1.6K stars). Experimental status. Template format adds complexity.
PL-12	ai-coding-prompts	not-included	developer	500+ coding prompts (React, Next.js, Python)	500+	60	NOT SELECTED - framework-specific coding prompts. Covered better by S03 skills.	-	Skills from S03 (1370+) already cover all these frameworks with more depth and structure.
PL-13	prompt-master-skill	not-included	tool	Claude skill for writing prompts	1 skill	65	NOT SELECTED - single skill. Valuable but S01 already includes prompt-related skills.	-	Single skill doesn't justify a submodule. Equivalent functionality in S01 skills.
PL-14	gpt-super-prompting	not-included	security	Jailbreaks, prompt leaks, injection	varies	40	NOT SELECTED - security research. Useful for defensive hardening but not a component source.	-	Primarily offensive security content. Defensive value covered by S07 prompt analysis.
PL-15	big-prompt-library	not-included	security	SystemPrompts, CustomInstructions, Jailbreaks	varies	50	NOT SELECTED - comprehensive but mixed quality. Covers ChatGPT, Copilot, Claude, Gemini, Cohere.	-	Mixed quality. Security perspective already covered by included sources. Storage cost not justified.
PL-16	awesome-llm-prompts	not-included	meta-index	Index of prompt libraries	index	35	NOT SELECTED - meta-index only. Used during research phase for discovery. No installable components.	-	Discovery tool, not a component source. Already used during initial repo scanning phase.
PL-17	awesome-gpt-prompt-eng	not-included	meta-index	Prompt engineering resources list	index	35	NOT SELECTED - resource list only. Same discovery role as PL-16.	-	Meta-index. No components. Already used during research. S13 covers education better.
PL-18	curated-ai-system-prompts	not-included	system-prompts	Curated prompts from 11 AI tools	11 tools	65	NOT SELECTED - smaller subset of what S07 already covers. Agent builder focused.	-	S07 covers 28+ tools vs 11. Curated selection doesn't add enough unique value.
PL-19	leaked-model-prompts	not-included	system-prompts	GPT-5.4, Claude Opus, Gemini 3.1, Grok system prompts	4 models	55	NOT SELECTED - covers latest model prompts but narrow scope. S07 already tracks these.	-	Only 4 models. S07 tracks these plus 24+ more tools. Ethically questionable sourcing.
